,sentence,field,form_subj,lemma_subj,form_verb,lemma_verb,form_obj,lemma_obj,clean
0,1301 stadfäste kung Birger Magnusson ett byte av jord mellan Abjörn Sixtensson och Karl Gregersson: Redan 1304 bytte han bort det till sin svåger riddaren Filip Ulfsson (Ulv) mot gods på Själland i samband med att han tvingades i landsflykt.,прятать,birger,birger,bytte,byta,det,en,True
1,1301 stadfäste kung Birger Magnusson ett byte av jord mellan Abjörn Sixtensson och Karl Gregersson: Redan 1304 bytte han bort det till sin svåger riddaren Filip Ulfsson (Ulv) mot gods på Själland i samband med att han tvingades i landsflykt.,прятать,han,han,bytte,byta,det,en,True
2,"1640 bytte han namn till Appelboom, det namn hans far 5 år senare adlades under.",прятать,han,han,bytte,byta,namn,namn,True
3,"1651 bytte det ägare till Israel Ridderhjelm, som reducerade det trettio år därefter.",прятать,det,en,bytte,byta,ägare,äg,True
4,"1830 bytte Läxarp ägare, och den föregående ägaren förbehöll sig en undantagsbostad, och stugan Marielund, uppkallad efter uppförarens fru Maria, Johan Petter Lundströms syster, uppfördes.",прятать,ägare,ägare,bytte,byta,undantagsbostad,undantagsbostad,True
5,"1830 bytte Läxarp ägare, och den föregående ägaren förbehöll sig en undantagsbostad, och stugan Marielund, uppkallad efter uppförarens fru Maria, Johan Petter Lundströms syster, uppfördes.",прятать,ägaren,ägare,bytte,byta,undantagsbostad,undantagsbostad,True
6,1887 bytte föreningen namn till Skellefteå Skyttegille.,прятать,föreningen,förening,bytte,byta,namn,namn,True
7,1900-2000-talet Regementet kom 1904 att ändra namn till Livregementets grenadjärer (I 3) och lämnade sin mötesplats vid Sannahed 1912 för att kasernernas i Örebro.,прятать,regementet,regement,ändra,ändra,namn,namn,True
8,1908 hade ligan status och upptagningsområde ökat betydligt och man bytte namn till Birmingham Combination.,прятать,man,man,bytte,byta,namn,namn,True
9,"1914 bytte serien namn till ""Tiger Tim and the Bruin Boys"" och kort därefter tog Herbert Foxwell över figuren, som då blev än mer populär. 1920 fick Tim sin egen serietidning, Tiger Tim's Weekly.",прятать,serien,serie,bytte,byta,namn,namn,True
10,1917 bytte Rapp-Motorenwerke namn till Bayerischen Motoren-Werke - BMW.,прятать,rapp,rapp,bytte,byta,namn,namn,True
11,1919 gick det samman med Danmarks venstresocialistiske parti och 1921 bytte det namn till Danmarks Kommunistiske Parti (DKP).,прятать,det,en,bytte,byta,namn,namn,True
12,1922 flyttad Martin till Garden City och företaget bytte namn till Martin Aeroplane Factory.,прятать,martin,martin,bytte,byta,namn,namn,True
13,1923 bytte de nya myndigheterna stadens namn till Beli Manastir (Vita klostret) som var det namn som den lokala kroatiska och serbiska befolkningen använde för staden.,прятать,myndigheterna,myndighet,bytte,byta,namn,namn,True
14,1923 bytte de nya myndigheterna stadens namn till Beli Manastir (Vita klostret) som var det namn som den lokala kroatiska och serbiska befolkningen använde för staden.,прятать,som,som,bytte,byta,namn,namn,True
15,"1927 bytte klubben namn till ""Sportklub Tirana"", och 1947 till ""17 Nëntori Tirana"", och från 1952 till 1956 till ""Puna Tirana"", och fick 1991 till sist sitt nuvarande namn.",прятать,klubben,klubb,bytte,byta,namn,namn,True
16,1928 ändrade Huff Daland Dusters namn till 'Delta Air Services' efter Mississippi Deltat.,прятать,huff,huff,ändrade,ändra,namn,namn,True
17,"1930 bytte han klubb till Newark Americans, men han flyttade redan samma säsong tillbaka till Fall River.",прятать,han,han,bytte,byta,klubb,klubb,True
18,"1932 bytte PMA namn till Pentecostal Church, Incorporated (PCI). 1936 röstade kyrkans pastorer för ett samgående med PAJC som, efter förhandlingar, kom till stånd 1945.",прятать,som,som,bytte,byta,namn,namn,True
19,1939 bytte man namn till Grycksbo Pappersbruks AB.,прятать,man,man,bytte,byta,namn,namn,True
20,1940 bytte bolaget namn till DTA– Linhas Aéreas de Angola.,прятать,bolaget,bolag,bytte,byta,namn,namn,True
